YEAR,MONTH,DAY,HOUR,MINUTE,CAUSE,VALIDITY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,REGION_CODE,COUNTRY,Contenient,LOCATION,LATITUDE,LONGITUDE,MAXIMUM_HEIGHT,MAGNITUDE_ABE,MAGNITUDE_IIDA,INTENSITY_SOLOVIEV,WARNING_STATUS,MISSING,MISSING_ESTIMATE,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE,ALL_MISSING,MISSING_TOTAL,ALL_INJURIES,INJURY_TOTAL,ALL_FATALITIES,FATALITY_TOTAL,ALL_DAMAGE_MILLIONS,DAMAGE_TOTAL,ALL_HOUSES_DAMAGED,HOUSE_DAMAGE_TOTAL,ALL_HOUSES_DESTROYED,HOUSE_DESTRUCTION_TOTAL
2010,6,12,19,26,1,4,35,7.5,60,INDIA,Asia,LITTLE NICOBAR ISLAND,7.881,91.936,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,8,10,5,23,1,4,25,7.2,82,VANUATU,Oceania,VANUATU ISLANDS,-17.541,168.069,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,8,13,21,19,1,4,10,6.9,81,USA TERRITORY,North America,"GUAM, MARIANA ISLANDS",12.484,141.476,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,10,25,14,42,1,4,20,7.8,60,INDONESIA,Asia,SUMATRA,-3.487,100.082,16.9,,,,,,,,,431,3,39,4,,,700,3,,,,,431,3,39,4,,,700,3
2010,12,21,17,19,1,4,14,7.4,85,JAPAN,Asia,BONIN ISLANDS,26.901,143.698,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,25,13,16,1,4,16,7.3,82,VANUATU,Oceania,VANUATU ISLANDS,-19.702,167.947,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,9,10,3,1,4,24,6.5,82,VANUATU,Oceania,VANUATU ISLANDS,-19.157,168.311,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2,11,20,5,1,4,28,6.8,89,CHILE,South America,CENTRAL CHILE,-36.474,-73.125,0.15,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2011,2,21,23,51,1,2,6,6.1,81,NEW ZEALAND,Australia,SOUTH ISLAND,-43.583,172.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3,9,2,45,1,4,32,7.5,85,JAPAN,Asia,HONSHU ISLAND,38.435,142.842,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3,11,5,46,1,4,30,9.1,85,JAPAN,Asia,HONSHU ISLAND,38.297,142.372,38.9,,,,,6152,4,,,18453,4,220085.456,4,273796,4,127511,4,,,6152,4,18453,4,220085.456,4,273796,4,127511,4
2011,4,7,14,32,1,4,42,7.1,85,JAPAN,Asia,E. COAST HONSHU ISLAND,38.276,141.588,0.08,,,,,,,,,,,,,,,,,,,132,3,3,1,,1,,,,
2011,6,24,3,9,1,4,52,7.3,87,USA,North America,"ATKA, ALEUTIAN ISLANDS, AK",52.05,-171.836,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6,27,,,9,2,,,73,UK,Europe,"PLYMOUTH, ENGLAND",50.5,-3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7,6,19,3,1,4,17,7.6,81,NEW ZEALAND,Australia,KERMADEC ISLANDS,-29.539,-176.34,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7,10,0,57,1,4,23,7,85,JAPAN,Asia,OFF EAST COAST OF HONSHU ISLAND,38.034,143.264,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7,30,5,30,8,3,,,73,NORWAY,Europe,"LYSEFJOREN, WESTERN NORWAY",59.05,6.64,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
2011,8,6,12,55,8,3,,,73,NORWAY,Europe,"LYSEFJOREN, WESTERN NORWAY",59.05,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8,20,16,55,1,4,32,7.1,82,VANUATU,Oceania,VANUATU ISLANDS,-18.365,168.143,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8,20,18,19,1,4,28,7,82,VANUATU,Oceania,VANUATU ISLANDS,-18.311,168.218,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,9,2,10,55,1,4,32,6.8,87,USA,North America,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.171,-171.708,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,10,21,17,57,1,4,33,7.4,81,NEW ZEALAND,Australia,KERMADEC ISLANDS,-28.993,-176.238,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2,2,13,34,1,4,23,7,82,VANUATU,Oceania,VANUATU ISLANDS,-17.827,167.133,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,3,14,9,8,1,4,12,6.9,85,JAPAN,Asia,HOKKAIDO ISLAND,40.887,144.944,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,3,20,18,2,1,4,20,7.4,88,MEXICO,South America,S. MEXICO,16.493,-98.231,0.2,,,,,,,,,,,,,,,,,,,13,1,2,1,,3,,,800,3
2012,4,11,8,38,1,4,20,8.6,60,INDONESIA,Asia,OFF W. COAST OF N SUMATRA,2.327,93.063,,,,,,,,,,,,,,,,,,,,12,1,10,1,,1,,2,,
2012,4,11,10,43,1,4,25,8.2,60,INDONESIA,Asia,OFF W. COAST OF N SUMATRA,0.802,92.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,4,14,22,5,1,4,11,6.3,82,VANUATU,Oceania,VANUATU ISLANDS,-18.972,168.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,7,15,,,8,4,,,72,GREENLAND,Europe,ILULISSAT ICEFJORD,69.2,-51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,8,27,4,37,1,4,28,7.3,88,NICARAGUA,North America,OFF THE COAST,12.139,-88.59,0.36,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
2012,8,31,12,47,1,4,28,7.6,84,PHILIPPINES,Asia,PHILIPPINE ISLANDS,10.811,126.638,0.15,,,,2,,,,,,,,,,,,,,,1,1,1,1,0.3,1,,,,1
2012,9,5,14,42,1,4,35,7.6,88,COSTA RICA,South America,COSTA RICA,10.085,-85.315,0.16,,,,2,,,,,,,,,,,,,,,20,1,2,1,,1,,,,2
2012,10,28,3,4,1,4,14,7.7,88,CANADA,North America,BRITISH COLUMBIA,52.788,-132.101,12.98,,,,2,,,,,1,1,,,,,,,,,,,1,1,,,,,,
2012,11,7,16,35,1,4,24,7.3,88,GUATEMALA,North America,GUATEMALA,13.988,-91.895,0.35,,,,,,,,,,,,,,,,,,,155,3,48,2,,3,7561,4,2769,4
2012,12,7,8,18,1,4,31,7.2,85,JAPAN,Asia,OFF EAST COAST OF HONSHU ISLAND,37.89,143.949,1,,,,3,,,,,,,,,,,,,,,11,1,,,,,,,,
2012,12,28,,,8,0,,,84,CHINA,Asia,"ZHAOJUN BRIDGE, HUBEI PROVINCE",31.256,110.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,5,8,58,1,4,10,7.5,87,USA,North America,"SE. ALASKA, AK",55.393,-134.652,1.5,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
2013,2,6,1,12,1,4,24,7.9,82,SOLOMON ISLANDS,Oceania,SANTA CRUZ ISLANDS,-10.766,165.114,11,,,,2,15,1,,,10,1,,2,478,3,588,3,,,15,1,10,1,,2,478,3,588,3
2013,2,8,15,26,1,4,21,7,82,SOLOMON ISLANDS,Oceania,SANTA CRUZ ISLANDS,-10.928,166.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4,19,3,5,1,2,110,7.2,86,RUSSIA,Europe,S. KURIL ISLANDS,46.221,150.788,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,6,13,,,9,4,,,75,USA,North America,NORTHWEST ATLANTIC OCEAN,,,1.8,,,,,2,1,,,,,,,,,,,,,2,1,,,,,,,,
2013,7,21,5,9,1,4,17,6.5,81,NEW ZEALAND,Australia,COOK STRAIT,-41.704,174.337,0.07,,,,,,,,,,,,,,,,,,,5,1,,,,1,35,1,,
2013,8,16,2,31,1,4,10,6.5,81,NEW ZEALAND,Australia,WELLINGTON,-41.767,174.061,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,
2013,9,24,,,5,4,47,,60,PAKISTAN,Asia,OFF COAST GWADAR,25.18,62.26,0.26,,,,,,,,,,,,,,,,,,,816,3,386,3,,4,14118,4,32638,4
2013,10,25,17,10,1,4,26,7.1,85,JAPAN,Asia,E. COAST HONSHU ISLAND,37.149,144.679,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,11,17,9,4,1,4,10,7.8,71,ANTARCTICA,Antarctica,SCOTIA SEA,-60.296,-46.362,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,16,21,16,1,4,20,6.7,89,CHILE,South America,NORTHERN CHILE,-19.925,-70.628,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2014,4,1,23,46,1,4,20,8.2,89,CHILE,South America,NORTHERN CHILE,-19.642,-70.817,4.4,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
2014,4,3,2,43,1,4,40,7.6,89,CHILE,South America,NORTHERN CHILE,-20.4,-70.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,12,20,14,1,4,29,7.6,82,SOLOMON ISLANDS,Oceania,SOLOMON ISLANDS,-11.315,162.211,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,13,12,36,1,4,35,7.4,82,SOLOMON ISLANDS,Oceania,SOLOMON ISLANDS,-11.451,162.069,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,18,14,27,1,4,24,7.2,88,MEXICO,South America,GREYMOUTH,17.552,-100.816,,,,,,,,,,,,,,,,,,,,,,,,,1,127,2,,
2014,4,19,13,27,1,4,31,7.5,82,PAPUA NEW GUINEA,Oceania,SOLOMON SEA,-6.72,154.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6,23,19,19,1,4,20,6.9,81,NEW ZEALAND,Australia,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-30.118,-177.67,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6,23,20,53,1,4,108,7.9,87,USA,North America,"ALEUTIAN ISLANDS, AK",51.797,178.76,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,7,11,19,21,1,4,11,6.5,85,JAPAN,Asia,SANRIKU,37.04,142.425,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,7,25,10,54,1,4,10,6.1,87,USA,North America,"PALMA BAY, AK",58.358,-137.13,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,10,9,2,14,1,4,16,7.1,89,CHILE,South America,EASTER ISLAND REGION,-32.115,-110.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,10,14,3,51,1,4,40,7.3,88,EL SALVADOR,South America,GULF OF FONSECA,12.526,-88.123,,,,,,,,,,,,,,,,,,,,,,1,1,,1,41,1,5,1
2014,11,15,2,31,1,3,35,7.1,83,INDONESIA,Asia,N. MOLUCCAS ISLANDS,1.928,126.54,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,16,23,6,1,4,23,6.7,85,JAPAN,Asia,HONSHU,39.83,142.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,19,13,18,1,4,10,6.4,82,VANUATU,Oceania,VANUATU ISLANDS,-16.431,168.148,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
2015,3,29,23,48,1,4,40,7.5,82,PAPUA NEW GUINEA,Oceania,BISMARCK SEA,-4.76,152.556,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5,2,16,50,1,3,33,5.7,85,JAPAN,Asia,S. OF HONSHU ISLAND,31.594,140.167,0.5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
2015,5,5,1,44,1,3,42,7.5,82,PAPUA NEW GUINEA,Oceania,NEW BRITAIN,-5.465,151.886,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2015,7,1,,,9,3,,,73,SCOTLAND,Europe,NORTH SEA,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7,10,4,12,1,4,12,6.7,82,SOLOMON ISLANDS,Oceania,SOLOMON ISLANDS,-9.303,158.396,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7,18,2,27,1,4,10,7,82,SOLOMON ISLANDS,Oceania,SANTA CRUZ ISLANDS,-10.444,165.172,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7,27,4,49,1,4,29,6.9,87,USA,North America,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.736,-169.446,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,9,16,22,54,1,4,22,8.3,89,CHILE,South America,CENTRAL CHILE,-31.573,-71.674,13.6,,8.4,,,,,,,8,1,,1,,,,,1,1,14,1,15,1,600,4,10044,4,2305,4
2015,10,18,5,19,8,4,,,87,USA,North America,"ICY BAY, AK",60.08,-141.3,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,11,11,1,54,1,4,10,6.9,89,CHILE,South America,CENTRAL CHILE,-29.439,-72.105,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,11,13,20,51,1,4,12,6.7,85,JAPAN,Asia,JAPAN,30.991,128.877,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,11,17,7,10,3,4,11,6.5,50,GREECE,Europe,IONIAN SEA,38.755,20.552,0.15,,,,,,,,,,,,,,,,,,,4,1,2,1,,2,,2,1,1
2016,3,2,12,49,1,4,24,7.8,60,INDONESIA,Asia,SW. SUMATRA,-4.908,94.275,0.21,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,
2016,4,16,23,58,1,4,21,7.8,89,ECUADOR,South America,OFF COAST,0.382,-79.922,0.14,,,,,,,,,,,,,,,,,9,1,6274,4,662,3,,,2740,4,6998,4
2016,4,28,19,33,1,3,27,7,82,VANUATU,Oceania,VANUATU ISLANDS,-16.074,167.393,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,8,12,1,26,1,4,10,7.2,82,NEW CALEDONIA,Oceania,LOYALTY ISLANDS,-22.495,173.111,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,8,19,7,32,1,,10,7.4,71,UK TERRITORY,Oceania,SOUTHERN ATLANTIC OCEAN,-55.279,-31.874,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,9,1,16,37,1,4,19,7.1,81,NEW ZEALAND,Australia,GISBORNE,-37.401,179.055,0.21,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,13,11,2,1,4,,7.8,81,NEW ZEALAND,Australia,OFF EAST COAST OF SOUTH ISLAND,-42.757,173.077,4.1,,,,,,,,,,,,1,,,1,1,,,,,2,1,,2,,1,1,1
2016,11,21,20,59,1,4,11,6.9,85,JAPAN,Asia,E. COAST HONSHU ISLAND,37.392,141.403,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,
2016,11,24,18,43,1,4,10,7,88,NICARAGUA,North America,NICARAGUA,11.96,-88.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,8,17,38,1,4,41,7.8,82,SOLOMON ISLANDS,Oceania,SOLOMON ISLANDS,-10.665,161.335,,,,,,,,,,,,,,,,,,,,,,1,1,,1,126,3,191,3
2016,12,9,19,10,1,4,21,6.9,82,SOLOMON ISLANDS,Oceania,SOLOMON ISLANDS,-10.73,161.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,17,10,51,1,4,103,7.9,82,PAPUA NEW GUINEA,Oceania,SOLOMON SEA,-4.509,153.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,25,14,22,1,4,35,7.6,89,CHILE,South America,SOUTHERN CHILE,-43.416,-73.88,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2017,1,3,21,5,1,4,17,6.9,81,FIJI,Asia,FIJI ISLANDS,-19.326,176.053,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,22,4,30,1,4,136,7.9,82,PAPUA NEW GUINEA,Oceania,BOUGAINVILLE ISLAND,-6.214,55.122,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
