YEAR,MONTH,DAY,HOUR,MINUTE,CAUSE,VALIDITY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,REGION_CODE,COUNTRY,Contenient,LOCATION,LATITUDE,LONGITUDE,MAXIMUM_HEIGHT,MAGNITUDE_ABE,MAGNITUDE_IIDA,INTENSITY_SOLOVIEV,WARNING_STATUS,MISSING,MISSING_ESTIMATE,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE,ALL_MISSING,MISSING_TOTAL,ALL_INJURIES,INJURY_TOTAL,ALL_FATALITIES,FATALITY_TOTAL,ALL_DAMAGE_MILLIONS,DAMAGE_TOTAL,ALL_HOUSES_DAMAGED,HOUSE_DAMAGE_TOTAL,ALL_HOUSES_DESTROYED,HOUSE_DESTRUCTION_TOTAL
2003,9,25,19,50,1,4,27,8.3,85,JAPAN,Asia,HOKKAIDO ISLAND,41.815,143.91,4.4,,,,2,,,,,,,,,,,,,,,755,3,,,90,4,,,,
2003,10,31,1,6,1,4,10,7,85,JAPAN,Asia,E. HONSHU ISLAND,37.812,142.619,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,11,17,6,43,1,4,33,7.8,87,USA,North America,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.146,178.65,0.33,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,
2003,12,27,4,55,1,4,10,6.1,82,NEW CALEDONIA,Oceania,LOYALTY ISLANDS,-22.107,169.35,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,28,22,15,1,4,17,6.7,83,INDONESIA,Asia,SERAM ISLAND,-3.12,127.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2004,2,11,8,15,1,4,27,5.3,50,JORDAN,Asia,DEAD SEA,31.675,35.551,1,,,,,,,,,,,,,,,,,,,4,1,,,,2,,2,,
2004,9,5,10,7,1,4,14,7.2,85,JAPAN,Asia,SOUTH COAST HONSHU ISLAND,33.07,136.618,0.63,,,,4,,,,,,,,,,,,,,,4,1,,,,1,,,,
2004,9,5,14,57,1,4,10,7.4,85,JAPAN,Asia,SOUTH COAST HONSHU ISLAND,33.184,137.071,0.93,,,,4,,,,,,,,,,,,,,,40,1,,,,1,,,,
2004,11,2,10,2,1,4,10,6.6,88,CANADA,North America,VANCOUVER ISLAND,49.277,-128.772,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11,11,21,26,1,4,10,7.5,60,INDONESIA,Asia,KEPULAUAN ALOR,-8.152,124.868,,,,,,,,,,,,,1,1,1,,,,,400,3,34,1,,3,16712,4,781,3
